,Open,Close,"SI(C2>B2,1,0)"
1916,1391.51001,1369.09998,0
1917,1368.79004,1369.57996,1
1918,1369.16003,1363.71997,0
1919,1363.19995,1354.57996,0
1920,1354.57996,1357.98999,1
1921,1358.10999,1353.39002,0
1922,1351.93005,1338.34998,0
1923,1338.35999,1330.66003,0
1924,1330.78003,1324.80005,0
1925,1324.81995,1304.85999,0
1926,1305.05005,1295.21997,0
1927,1295.72998,1315.98999,1
1928,1316.08997,1316.63001,1
1929,1316.02002,1318.85999,1
1930,1318.71997,1320.68005,1
1931,1320.81006,1317.81995,0
1932,1318.90002,1332.42004,1
1933,1331.25,1313.31995,0
1934,1313.08997,1310.32996,0
1935,1309.87,1278.04004,0
1936,1278.29004,1278.18005,0
1937,1277.81995,1285.5,1
1938,1285.60999,1315.13001,1
1939,1316.15002,1314.98999,0
1940,1314.98999,1325.66003,1
1941,1325.71997,1308.93005,0
1942,1309.40002,1324.18005,1
1943,1324.02002,1314.88001,0
1944,1314.88001,1329.09998,1
1945,1329.18994,1342.83997,1
1946,1342.42004,1344.78003,1
1947,1344.82996,1357.97998,1
1948,1358.04004,1355.68994,0
1949,1355.43005,1325.51001,0
1950,1325.92004,1335.02002,1
1951,1334.90002,1313.71997,0
1952,1314.08997,1319.98999,1
1953,1320.70996,1331.84998,1
1954,1331.52002,1329.04004,0
1955,1330.12,1362.16003,1
1956,1362.32996,1365.51001,1
1957,1365.75,1374.02002,1
1958,1373.71997,1367.57996,0
1959,1367.08997,1354.68005,0
1960,1354.66003,1352.45996,0
1961,1352.95996,1341.46997,0
1962,1341.40002,1341.44995,1
1963,1341.29004,1334.76001,0
1964,1334.81006,1356.78003,1
1965,1356.5,1353.64002,0
1966,1353.68005,1363.67004,1
1967,1363.57996,1372.78003,1
1968,1373.01001,1376.51001,1
1969,1376.51001,1362.66003,0
1970,1362.33997,1350.52002,0
1971,1350.52002,1338.31006,0
1972,1338.34998,1337.89002,0
1973,1338.17004,1360.02002,1
1974,1360.05005,1385.96997,1
1975,1385.93994,1385.30005,0
1976,1385.27002,1379.31995,0
1977,1379.31995,1375.31995,0
1978,1375.13001,1365,0
1979,1365.44995,1390.98999,1
1980,1391.04004,1394.22998,1
1981,1394.45996,1401.34998,1
1982,1401.22998,1402.21997,1
1983,1402.26001,1402.80005,1
1984,1402.57996,1405.87,1
1985,1405.87,1404.10999,0
1986,1404.35999,1403.93005,0
1987,1403.89002,1405.53003,1
1988,1405.56995,1415.51001,1
1989,1415.83997,1418.16003,1
1990,1417.84998,1418.13001,1
1991,1418.13001,1413.17004,0
1992,1413.08997,1413.48999,1
1993,1413.48999,1402.07996,0
1994,1401.98999,1411.13001,1
1995,1411.13001,1410.43994,0
1996,1410.43994,1409.30005,0
1997,1409.31995,1410.48999,1
1998,1410.07996,1399.47998,0
1999,1400.06995,1406.57996,1
2000,1406.54004,1404.93994,0
2001,1404.93994,1403.43994,0
2002,1403.73999,1432.12,1
2003,1432.12,1437.92004,1
2004,1437.92004,1429.07996,0
2005,1429.13001,1433.56006,1
2006,1433.56006,1436.56006,1
2007,1436.56006,1459.98999,1
2008,1460.06995,1465.77002,1
2009,1465.42004,1461.18994,0
2010,1461.18994,1459.31995,0
2011,1459.5,1461.05005,1
2012,1461.05005,1460.26001,0
2013,1460.33997,1460.15002,0
2014,1459.76001,1456.89002,0
2015,1456.93994,1441.58997,0
2016,1441.59998,1433.31995,0
2017,1433.35999,1447.15002,1
2018,1447.13001,1440.67004,0
2019,1440.90002,1444.48999,1
2020,1444.98999,1445.75,1
2021,1446.05005,1450.98999,1
2022,1451.07996,1461.40002,1
2023,1461.40002,1460.93005,0
2024,1460.93005,1455.88001,0
2025,1455.90002,1441.47998,0
2026,1441.47998,1432.56006,0
2027,1432.81995,1432.83997,1
2028,1432.83997,1428.58997,0
2029,1428.75,1440.13001,1
2030,1440.31006,1454.92004,1
2031,1454.21997,1460.91003,1
2032,1460.93994,1457.33997,0
2033,1457.33997,1433.18994,0
2034,1433.20996,1433.81995,1
2035,1433.73999,1413.10999,0
2036,1413.19995,1408.75,0
2037,1409.73999,1412.96997,1
2038,1412.96997,1411.93994,0
2039,1410.98999,1412.16003,1
2040,1412.19995,1427.58997,1
2041,1427.58997,1414.19995,0
2042,1414.02002,1417.26001,1
2043,1417.26001,1428.39002,1
2044,1428.27002,1394.53003,0
2045,1394.53003,1377.51001,0
2046,1377.55005,1379.84998,1
2047,1379.85999,1380.03003,1
2048,1380.03003,1374.53003,0
2049,1374.64002,1355.48999,0
2050,1355.41003,1353.32996,0
2051,1353.35999,1359.88001,1
2052,1359.88001,1386.89002,1
2053,1386.81995,1387.81006,1
