Date,Open,High,Low,Close,Adj Close,Volume
28/02/2014,1855.12000,1867.92004,1847.67004,1859.44995,1859.44995,3917450000
03/03/2014,1857.68005,1857.68005,1834.43994,1845.72998,1845.72998,3428220000
04/03/2014,1849.22998,1876.22998,1849.22998,1873.91003,1873.91003,3765770000
05/03/2014,1874.05005,1876.53003,1871.10999,1873.81006,1873.81006,3392990000
06/03/2014,1874.18005,1881.93994,1874.18005,1877.03003,1877.03003,3360450000
07/03/2014,1878.52002,1883.56995,1870.56006,1878.04004,1878.04004,3564740000
10/03/2014,1877.85999,1877.87000,1867.04004,1877.17004,1877.17004,3021350000
11/03/2014,1878.26001,1882.34998,1863.88001,1867.63001,1867.63001,3392400000
12/03/2014,1866.15002,1868.38001,1854.38001,1868.19995,1868.19995,3270860000
13/03/2014,1869.06006,1874.40002,1841.85999,1846.33997,1846.33997,3670990000
14/03/2014,1845.06995,1852.43994,1839.56995,1841.13001,1841.13001,3285460000
17/03/2014,1842.81006,1862.30005,1842.81006,1858.82996,1858.82996,2860490000
18/03/2014,1858.92004,1873.76001,1858.92004,1872.25000,1872.25000,2930190000
19/03/2014,1872.25000,1874.14002,1850.34998,1860.77002,1860.77002,3289210000
20/03/2014,1860.08997,1873.48999,1854.63001,1872.01001,1872.01001,3327540000
21/03/2014,1874.53003,1883.96997,1863.45996,1866.52002,1866.52002,5270710000
24/03/2014,1867.67004,1873.33997,1849.68994,1857.43994,1857.43994,3409000000
25/03/2014,1859.47998,1871.87000,1855.95996,1865.62000,1865.62000,3200560000
26/03/2014,1867.08997,1875.92004,1852.56006,1852.56006,1852.56006,3480850000
27/03/2014,1852.10999,1855.55005,1842.10999,1849.04004,1849.04004,3733430000
28/03/2014,1850.06995,1866.63001,1850.06995,1857.62000,1857.62000,2955520000
31/03/2014,1859.16003,1875.18005,1859.16003,1872.33997,1872.33997,3274300000
01/04/2014,1873.95996,1885.83997,1873.95996,1885.52002,1885.52002,3336190000
02/04/2014,1886.60999,1893.17004,1883.79004,1890.90002,1890.90002,3131660000
03/04/2014,1891.43005,1893.80005,1882.65002,1888.77002,1888.77002,3055600000
04/04/2014,1890.25000,1897.28003,1863.26001,1865.08997,1865.08997,3583750000
07/04/2014,1863.92004,1864.04004,1841.47998,1845.04004,1845.04004,3801540000
08/04/2014,1845.47998,1854.94995,1837.48999,1851.95996,1851.95996,3721450000
09/04/2014,1852.64002,1872.43005,1852.38001,1872.18005,1872.18005,3308650000
10/04/2014,1872.28003,1872.53003,1830.87000,1833.07996,1833.07996,3758780000
11/04/2014,1830.65002,1835.06995,1814.35999,1815.68994,1815.68994,3743460000
14/04/2014,1818.18005,1834.18994,1815.80005,1830.60999,1830.60999,3111540000
15/04/2014,1831.44995,1844.02002,1816.29004,1842.97998,1842.97998,3736440000
16/04/2014,1846.01001,1862.31006,1846.01001,1862.31006,1862.31006,3155080000
17/04/2014,1861.72998,1869.63001,1856.71997,1864.84998,1864.84998,3341430000
21/04/2014,1865.79004,1871.89002,1863.18005,1871.89002,1871.89002,2642500000
22/04/2014,1872.56995,1884.89002,1872.56995,1879.55005,1879.55005,3215440000
23/04/2014,1879.31995,1879.75000,1873.91003,1875.39002,1875.39002,3085720000
24/04/2014,1881.96997,1884.06006,1870.23999,1878.60999,1878.60999,3191830000
25/04/2014,1877.71997,1877.71997,1859.69995,1863.40002,1863.40002,3213020000
28/04/2014,1865.00000,1877.01001,1850.60999,1869.43005,1869.43005,4034680000
29/04/2014,1870.78003,1880.59998,1870.78003,1878.32996,1878.32996,3647820000
30/04/2014,1877.09998,1885.19995,1872.68994,1883.94995,1883.94995,3779230000
01/05/2014,1884.39002,1888.58997,1878.04004,1883.68005,1883.68005,3416740000
02/05/2014,1885.30005,1891.32996,1878.50000,1881.14002,1881.14002,3159560000
05/05/2014,1879.44995,1885.51001,1866.77002,1884.66003,1884.66003,2733730000
06/05/2014,1883.68994,1883.68994,1867.71997,1867.71997,1867.71997,3327260000
07/05/2014,1868.53003,1878.82996,1859.79004,1878.20996,1878.20996,3632950000
08/05/2014,1877.39002,1889.06995,1870.05005,1875.63001,1875.63001,3393420000
09/05/2014,1875.27002,1878.56995,1867.02002,1878.47998,1878.47998,3025020000
12/05/2014,1880.03003,1897.13001,1880.03003,1896.65002,1896.65002,3005740000
13/05/2014,1896.75000,1902.17004,1896.06006,1897.44995,1897.44995,2915680000
14/05/2014,1897.13001,1897.13001,1885.77002,1888.53003,1888.53003,2822060000
15/05/2014,1888.16003,1888.16003,1862.35999,1870.84998,1870.84998,3552640000
16/05/2014,1871.18994,1878.28003,1864.81995,1877.85999,1877.85999,3173650000
19/05/2014,1876.66003,1886.00000,1872.42004,1885.07996,1885.07996,2664250000
20/05/2014,1884.88001,1884.88001,1868.14002,1872.82996,1872.82996,3007700000
21/05/2014,1873.33997,1888.80005,1873.33997,1888.03003,1888.03003,2777140000
22/05/2014,1888.18994,1896.32996,1885.39002,1892.48999,1892.48999,2759800000
23/05/2014,1893.31995,1901.26001,1893.31995,1900.53003,1900.53003,2396280000
27/05/2014,1902.01001,1912.28003,1902.01001,1911.91003,1911.91003,2911020000
28/05/2014,1911.77002,1914.45996,1907.30005,1909.78003,1909.78003,2976450000
29/05/2014,1910.59998,1920.03003,1909.81995,1920.03003,1920.03003,2709050000
30/05/2014,1920.32996,1924.03003,1916.64002,1923.56995,1923.56995,3263490000
02/06/2014,1923.87000,1925.88001,1915.97998,1924.96997,1924.96997,2509020000
03/06/2014,1923.06995,1925.06995,1918.79004,1924.23999,1924.23999,2867180000
04/06/2014,1923.06006,1928.63001,1918.59998,1927.88001,1927.88001,2793920000
05/06/2014,1928.52002,1941.73999,1922.93005,1940.45996,1940.45996,3113270000
06/06/2014,1942.41003,1949.43994,1942.41003,1949.43994,1949.43994,2864300000
09/06/2014,1948.96997,1955.55005,1947.16003,1951.27002,1951.27002,2812180000
10/06/2014,1950.33997,1950.85999,1944.64002,1950.79004,1950.79004,2702360000
11/06/2014,1949.37000,1949.37000,1940.07996,1943.89002,1943.89002,2710620000
12/06/2014,1943.34998,1943.34998,1925.78003,1930.10999,1930.10999,3040480000
13/06/2014,1930.80005,1937.30005,1927.68994,1936.16003,1936.16003,2598230000
16/06/2014,1934.83997,1941.15002,1930.91003,1937.78003,1937.78003,2926130000
17/06/2014,1937.15002,1943.68994,1933.55005,1941.98999,1941.98999,2971260000
18/06/2014,1942.72998,1957.73999,1939.29004,1956.97998,1956.97998,3065220000
19/06/2014,1957.50000,1959.87000,1952.26001,1959.47998,1959.47998,2952150000
20/06/2014,1960.44995,1963.91003,1959.17004,1962.87000,1962.87000,4336240000
23/06/2014,1962.92004,1963.73999,1958.89002,1962.60999,1962.60999,2717630000
24/06/2014,1961.96997,1968.17004,1948.33997,1949.97998,1949.97998,3089700000
25/06/2014,1949.27002,1960.82996,1947.48999,1959.53003,1959.53003,3106710000
26/06/2014,1959.89002,1959.89002,1944.68994,1957.21997,1957.21997,2778840000
27/06/2014,1956.56006,1961.46997,1952.18005,1960.95996,1960.95996,4290590000
30/06/2014,1960.79004,1964.23999,1958.21997,1960.22998,1960.22998,3037350000
01/07/2014,1962.29004,1978.57996,1962.29004,1973.31995,1973.31995,3188240000
02/07/2014,1973.06006,1976.67004,1972.57996,1974.62000,1974.62000,2851480000
03/07/2014,1975.88001,1985.58997,1975.88001,1985.43994,1985.43994,1998090000
07/07/2014,1984.21997,1984.21997,1974.88001,1977.65002,1977.65002,2681260000
08/07/2014,1976.39002,1976.39002,1959.45996,1963.70996,1963.70996,3302430000
09/07/2014,1965.09998,1974.15002,1965.09998,1972.82996,1972.82996,2858800000
10/07/2014,1966.67004,1969.83997,1952.85999,1964.68005,1964.68005,3165690000
11/07/2014,1965.76001,1968.67004,1959.63001,1967.56995,1967.56995,2684630000
14/07/2014,1969.85999,1979.84998,1969.85999,1977.09998,1977.09998,2744920000
15/07/2014,1977.35999,1982.52002,1965.33997,1973.28003,1973.28003,3328740000
16/07/2014,1976.34998,1983.93994,1975.67004,1981.56995,1981.56995,3390950000
17/07/2014,1979.75000,1981.80005,1955.58997,1958.12000,1958.12000,3381680000
18/07/2014,1961.54004,1979.91003,1960.81995,1978.21997,1978.21997,3106060000
21/07/2014,1976.93005,1976.93005,1965.77002,1973.63001,1973.63001,2611160000
22/07/2014,1975.65002,1986.23999,1975.65002,1983.53003,1983.53003,2890480000
23/07/2014,1985.31995,1989.22998,1982.43994,1987.01001,1987.01001,2869720000
24/07/2014,1988.06995,1991.39002,1985.79004,1987.97998,1987.97998,3203530000
25/07/2014,1984.59998,1984.59998,1974.37000,1978.33997,1978.33997,2638960000
28/07/2014,1978.25000,1981.52002,1967.31006,1978.91003,1978.91003,2803320000
29/07/2014,1980.03003,1984.84998,1969.94995,1969.94995,1969.94995,3183300000
30/07/2014,1973.20996,1978.90002,1962.42004,1970.06995,1970.06995,3448250000
31/07/2014,1965.14002,1965.14002,1930.67004,1930.67004,1930.67004,4193000000
01/08/2014,1929.80005,1937.34998,1916.37000,1925.15002,1925.15002,3789660000
04/08/2014,1926.62000,1942.92004,1921.19995,1938.98999,1938.98999,3072920000
05/08/2014,1936.33997,1936.33997,1913.77002,1920.20996,1920.20996,3462520000
06/08/2014,1917.29004,1927.91003,1911.44995,1920.23999,1920.23999,3539150000
07/08/2014,1923.03003,1928.89002,1904.78003,1909.56995,1909.56995,3230520000
08/08/2014,1910.34998,1932.38001,1909.01001,1931.58997,1931.58997,2902280000
11/08/2014,1933.43005,1944.90002,1933.43005,1936.92004,1936.92004,2784890000
12/08/2014,1935.72998,1939.65002,1928.29004,1933.75000,1933.75000,2611700000
13/08/2014,1935.59998,1948.41003,1935.59998,1946.71997,1946.71997,2718020000
14/08/2014,1947.41003,1955.22998,1947.41003,1955.18005,1955.18005,2609460000
15/08/2014,1958.87000,1964.04004,1941.50000,1955.06006,1955.06006,3023380000
18/08/2014,1958.35999,1971.98999,1958.35999,1971.73999,1971.73999,2638160000
19/08/2014,1972.72998,1982.56995,1972.72998,1981.59998,1981.59998,2656430000
20/08/2014,1980.45996,1988.56995,1977.68005,1986.51001,1986.51001,2579560000
21/08/2014,1986.81995,1994.76001,1986.81995,1992.37000,1992.37000,2638920000
22/08/2014,1992.59998,1993.54004,1984.76001,1988.40002,1988.40002,2301860000
25/08/2014,1991.73999,2001.94995,1991.73999,1997.92004,1997.92004,2233880000
26/08/2014,1998.58997,2005.04004,1998.58997,2000.02002,2000.02002,2451950000
27/08/2014,2000.54004,2002.14002,1996.19995,2000.12000,2000.12000,2344350000
28/08/2014,1997.42004,1998.55005,1990.52002,1996.73999,1996.73999,2282400000
29/08/2014,1998.44995,2003.38001,1994.65002,2003.37000,2003.37000,2259130000
02/09/2014,2004.06995,2006.12000,1994.84998,2002.28003,2002.28003,2819980000
03/09/2014,2003.56995,2009.28003,1998.14002,2000.71997,2000.71997,2809980000
04/09/2014,2001.67004,2011.17004,1992.54004,1997.65002,1997.65002,3072410000
05/09/2014,1998.00000,2007.70996,1990.09998,2007.70996,2007.70996,2818300000
08/09/2014,2007.17004,2007.17004,1995.59998,2001.54004,2001.54004,2789090000
09/09/2014,2000.72998,2001.01001,1984.60999,1988.43994,1988.43994,2882830000
10/09/2014,1988.41003,1996.66003,1982.98999,1995.68994,1995.68994,2912430000
11/09/2014,1992.84998,1997.65002,1985.93005,1997.44995,1997.44995,2941690000
12/09/2014,1996.73999,1996.73999,1980.26001,1985.54004,1985.54004,3206570000
15/09/2014,1986.04004,1987.18005,1978.47998,1984.13001,1984.13001,2776530000
16/09/2014,1981.93005,2002.28003,1979.06006,1998.97998,1998.97998,3160310000
17/09/2014,1999.30005,2010.73999,1993.29004,2001.56995,2001.56995,3209420000
18/09/2014,2003.06995,2012.33997,2003.06995,2011.35999,2011.35999,3235340000
