"<per>,<date>,<time>,<open>,<high>,<low>,<close>,<vol>,<oi>"
"126,20170810,133509,11.650,11.650,11.650,11.650,2500.000,0"
"127,20170810,133509,11.650,11.650,11.650,11.650,2440.000,0"
"128,20170810,133509,11.650,11.650,11.650,11.650,2000.000,0"
"129,20170810,133614,11.650,11.650,11.650,11.650,1000.000,0"
"130,20170810,133944,11.700,11.700,11.700,11.700,2500.000,0"
"131,20170810,133944,11.700,11.700,11.700,11.700,500.000,0"
"132,20170810,134315,11.700,11.700,11.700,11.700,854.000,0"
"133,20170810,134353,11.700,11.700,11.700,11.700,2000.000,0"
"134,20170810,134353,11.700,11.700,11.700,11.700,386.000,0"
"135,20170810,134400,11.700,11.700,11.700,11.700,890.000,0"
"136,20170810,134404,11.700,11.700,11.700,11.700,2500.000,0"
"137,20170810,134714,11.750,11.750,11.750,11.750,1000.000,0"
"138,20170810,134825,11.700,11.700,11.700,11.700,2000.000,0"
"139,20170810,134907,11.700,11.700,11.700,11.700,224.000,0"
"140,20170810,134948,11.700,11.700,11.700,11.700,1939.000,0"
"141,20170810,134959,11.700,11.700,11.700,11.700,404.000,0"
"142,20170810,135054,11.700,11.700,11.700,11.700,2657.000,0"
"143,20170810,135148,11.700,11.700,11.700,11.700,3055.000,0"
"144,20170810,135245,11.700,11.700,11.700,11.700,1945.000,0"
"145,20170810,135438,11.700,11.700,11.700,11.700,2223.000,0"
"146,20170810,135506,11.700,11.700,11.700,11.700,854.000,0"
"147,20170810,135558,11.700,11.700,11.700,11.700,1500.000,0"
"148,20170810,135610,11.700,11.700,11.700,11.700,400.000,0"
"149,20170810,135613,11.700,11.700,11.700,11.700,23.000,0"
"150,20170810,135642,11.650,11.650,11.650,11.650,200.000,0"
"151,20170810,135648,11.750,11.750,11.750,11.750,89.000,0"
"152,20170810,135855,11.700,11.700,11.700,11.700,500.000,0"
"153,20170810,135910,11.700,11.700,11.700,11.700,500.000,0"
"154,20170810,135935,11.750,11.750,11.750,11.750,100.000,0"
"155,20170810,135935,11.750,11.750,11.750,11.750,3700.000,0"
"156,20170810,135935,11.750,11.750,11.750,11.750,300.000,0"
"157,20170810,135935,11.750,11.750,11.750,11.750,900.000,0"
"158,20170810,135944,11.750,11.750,11.750,11.750,1600.000,0"
"159,20170810,135944,11.800,11.800,11.800,11.800,2400.000,0"
"160,20170810,140023,11.800,11.800,11.800,11.800,1000.000,0"
"161,20170810,140031,11.800,11.800,11.800,11.800,130.000,0"
"162,20170810,140032,11.800,11.800,11.800,11.800,6470.000,0"
"163,20170810,140032,11.800,11.800,11.800,11.800,2500.000,0"
"164,20170810,140032,11.800,11.800,11.800,11.800,1030.000,0"
"165,20170810,140041,11.800,11.800,11.800,11.800,6880.000,0"
"166,20170810,140100,11.900,11.900,11.900,11.900,1000.000,0"
"167,20170810,140140,11.950,11.950,11.950,11.950,2000.000,0"
"168,20170810,140149,11.900,11.900,11.900,11.900,1000.000,0"
"169,20170810,140256,11.900,11.900,11.900,11.900,2000.000,0"
"170,20170810,140306,11.900,11.900,11.900,11.900,1500.000,0"
"171,20170810,140308,11.900,11.900,11.900,11.900,420.000,0"
"172,20170810,140313,11.950,11.950,11.950,11.950,2000.000,0"
"173,20170810,140357,11.950,11.950,11.950,11.950,1666.000,0"
"174,20170810,140400,11.950,11.950,11.950,11.950,334.000,0"
"175,20170810,140425,11.900,11.900,11.900,11.900,420.000,0"
"176,20170810,140425,11.900,11.900,11.900,11.900,1008.000,0"
"177,20170810,140425,11.900,11.900,11.900,11.900,1580.000,0"
"178,20170810,140454,11.850,11.850,11.850,11.850,10.000,0"
"179,20170810,140621,11.850,11.850,11.850,11.850,1802.000,0"
"180,20170810,140633,11.850,11.850,11.850,11.850,3000.000,0"
"181,20170810,140702,11.900,11.900,11.900,11.900,2760.000,0"
"182,20170810,140742,11.850,11.850,11.850,11.850,251.000,0"
"183,20170810,141015,11.900,11.900,11.900,11.900,830.000,0"
"184,20170810,141043,11.900,11.900,11.900,11.900,2600.000,0"
"185,20170810,141043,11.900,11.900,11.900,11.900,1410.000,0"
"186,20170810,141043,11.900,11.900,11.900,11.900,500.000,0"
"187,20170810,141047,11.900,11.900,11.900,11.900,2400.000,0"
"188,20170810,141047,11.900,11.900,11.900,11.900,168.000,0"
"189,20170810,141052,11.950,11.950,11.950,11.950,1120.000,0"
"190,20170810,141052,11.950,11.950,11.950,11.950,2000.000,0"
"191,20170810,141132,11.950,11.950,11.950,11.950,1680.000,0"
"192,20170810,141132,11.950,11.950,11.950,11.950,2000.000,0"
"193,20170810,141133,11.950,11.950,11.950,11.950,2000.000,0"
"194,20170810,141133,11.950,11.950,11.950,11.950,2000.000,0"
"195,20170810,141133,12.000,12.000,12.000,12.000,1571.000,0"
"196,20170810,141133,12.000,12.000,12.000,12.000,500.000,0"
"197,20170810,141133,12.000,12.000,12.000,12.000,2000.000,0"
"198,20170810,141133,12.000,12.000,12.000,12.000,263.000,0"
"199,20170810,141133,12.000,12.000,12.000,12.000,5000.000,0"
"200,20170810,141133,12.000,12.000,12.000,12.000,1000.000,0"
"201,20170810,141133,12.000,12.000,12.000,12.000,1000.000,0"
"202,20170810,141133,12.000,12.000,12.000,12.000,922.000,0"
"203,20170810,141133,12.000,12.000,12.000,12.000,2500.000,0"
"204,20170810,141133,12.000,12.000,12.000,12.000,5000.000,0"
"205,20170810,141148,12.000,12.000,12.000,12.000,3744.000,0"
"206,20170810,141438,11.900,11.900,11.900,11.900,2432.000,0"
"207,20170810,141525,11.950,11.950,11.950,11.950,400.000,0"
"208,20170810,141525,11.950,11.950,11.950,11.950,436.000,0"
"209,20170810,141651,11.900,11.900,11.900,11.900,3500.000,0"
"210,20170810,141740,11.950,11.950,11.950,11.950,500.000,0"
"211,20170810,141740,11.950,11.950,11.950,11.950,164.000,0"
"212,20170810,142041,11.950,11.950,11.950,11.950,2500.000,0"
"213,20170810,142106,11.950,11.950,11.950,11.950,2000.000,0"
"214,20170810,142323,11.950,11.950,11.950,11.950,2500.000,0"
"215,20170810,142354,11.900,11.900,11.900,11.900,163.000,0"
"216,20170810,142511,11.900,11.900,11.900,11.900,1837.000,0"
"217,20170810,142656,11.950,11.950,11.950,11.950,2500.000,0"
"218,20170810,142656,11.950,11.950,11.950,11.950,400.000,0"
"219,20170810,142715,11.950,11.950,11.950,11.950,1210.000,0"
"220,20170810,142715,11.950,11.950,11.950,11.950,600.000,0"
"221,20170810,142726,11.950,11.950,11.950,11.950,251.000,0"
"222,20170810,142743,11.950,11.950,11.950,11.950,539.000,0"
"223,20170810,142743,12.000,12.000,12.000,12.000,61.000,0"
"224,20170810,142743,11.950,11.950,11.950,11.950,600.000,0"
"225,20170810,142835,12.000,12.000,12.000,12.000,18.000,0"
"226,20170810,142922,11.900,11.900,11.900,11.900,10.000,0"
"227,20170810,143045,11.900,11.900,11.900,11.900,300.000,0"
"228,20170810,143111,12.000,12.000,12.000,12.000,1950.000,0"
"229,20170810,143140,11.900,11.900,11.900,11.900,12000.000,0"
"230,20170810,143140,11.950,11.950,11.950,11.950,10000.000,0"
"231,20170810,143140,11.900,11.900,11.900,11.900,1622.000,0"
"232,20170810,143332,11.900,11.900,11.900,11.900,840.000,0"
"233,20170810,143403,11.900,11.900,11.900,11.900,2360.000,0"
"234,20170810,143445,11.900,11.900,11.900,11.900,640.000,0"
"235,20170810,143804,11.900,11.900,11.900,11.900,1500.000,0"
"236,20170810,143804,11.900,11.900,11.900,11.900,5000.000,0"
"237,20170810,143832,11.900,11.900,11.900,11.900,500.000,0"
"238,20170810,143844,11.850,11.850,11.850,11.850,3400.000,0"
"239,20170810,143844,11.850,11.850,11.850,11.850,700.000,0"
"240,20170810,143944,11.750,11.750,11.750,11.750,5000.000,0"
"241,20170810,143944,11.800,11.800,11.800,11.800,700.000,0"
"242,20170810,143944,11.800,11.800,11.800,11.800,1694.000,0"
"243,20170810,143944,11.750,11.750,11.750,11.750,500.000,0"
"244,20170810,143944,11.750,11.750,11.750,11.750,500.000,0"
"245,20170810,143944,11.750,11.750,11.750,11.750,5000.000,0"
"246,20170810,143948,11.750,11.750,11.750,11.750,20.000,0"
"247,20170810,144123,11.850,11.850,11.850,11.850,300.000,0"
"248,20170810,144326,11.900,11.900,11.900,11.900,1000.000,0"
"249,20170810,144326,11.850,11.850,11.850,11.850,1908.000,0"
"250,20170810,144326,11.900,11.900,11.900,11.900,33.000,0"
"251,20170810,145006,11.850,11.850,11.850,11.850,300.000,0"
"252,20170810,145106,11.850,11.850,11.850,11.850,1000.000,0"
"253,20170810,145132,11.850,11.850,11.850,11.850,1000.000,0"
"254,20170810,145441,11.800,11.800,11.800,11.800,509.000,0"
"255,20170810,145441,11.800,11.800,11.800,11.800,1288.000,0"
"256,20170810,145441,11.800,11.800,11.800,11.800,400.000,0"
"257,20170810,145741,11.800,11.800,11.800,11.800,456.000,0"
"258,20170810,145751,11.900,11.900,11.900,11.900,1428.000,0"
"259,20170810,145751,11.850,11.850,11.850,11.850,2500.000,0"
"260,20170810,145751,11.900,11.900,11.900,11.900,1072.000,0"
"261,20170810,150005,11.800,11.800,11.800,11.800,142.000,0"
"262,20170810,150321,11.750,11.750,11.750,11.750,1801.000,0"
"263,20170810,150321,11.750,11.750,11.750,11.750,697.000,0"
"264,20170810,150321,11.800,11.800,11.800,11.800,502.000,0"
"265,20170810,150709,11.750,11.750,11.750,11.750,5000.000,0"
"266,20170810,150709,11.750,11.750,11.750,11.750,1439.000,0"
"267,20170810,150829,11.700,11.700,11.700,11.700,5000.000,0"
"268,20170810,150829,11.700,11.700,11.700,11.700,1459.000,0"
"269,20170810,150829,11.700,11.700,11.700,11.700,7200.000,0"
"270,20170810,150836,11.650,11.650,11.650,11.650,9060.000,0"
"271,20170810,150836,11.650,11.650,11.650,11.650,1000.000,0"
"272,20170810,150836,11.650,11.650,11.650,11.650,10000.000,0"
"273,20170810,151135,11.750,11.750,11.750,11.750,50.000,0"
"274,20170810,151207,11.700,11.700,11.700,11.700,25.000,0"
"275,20170810,151321,11.800,11.800,11.800,11.800,26.000,0"
"276,20170810,151651,11.750,11.750,11.750,11.750,106.000,0"
"277,20170810,151708,11.650,11.650,11.650,11.650,1500.000,0"
"278,20170810,151708,11.650,11.650,11.650,11.650,40.000,0"
"279,20170810,151708,11.650,11.650,11.650,11.650,6700.000,0"
"280,20170810,152144,11.700,11.700,11.700,11.700,25.000,0"
"281,20170810,152414,11.700,11.700,11.700,11.700,606.000,0"
"282,20170810,152414,11.700,11.700,11.700,11.700,2394.000,0"
"283,20170810,152714,11.550,11.550,11.550,11.550,2933.000,0"
"284,20170810,152714,11.600,11.600,11.600,11.600,2000.000,0"
"285,20170810,152714,11.600,11.600,11.600,11.600,2000.000,0"
"286,20170810,153014,11.600,11.600,11.600,11.600,2000.000,0"
"287,20170810,153014,11.600,11.600,11.600,11.600,5000.000,0"
"288,20170810,153037,11.700,11.700,11.700,11.700,1493.000,0"
"289,20170810,153130,11.700,11.700,11.700,11.700,20.000,0"
"290,20170810,153144,11.700,11.700,11.700,11.700,180.000,0"
"291,20170810,153309,11.600,11.600,11.600,11.600,1020.000,0"
"292,20170810,153309,11.600,11.600,11.600,11.600,1000.000,0"
"293,20170810,153410,11.600,11.600,11.600,11.600,1000.000,0"
"294,20170810,153410,11.600,11.600,11.600,11.600,2000.000,0"
"295,20170810,153801,11.650,11.650,11.650,11.650,1000.000,0"
"296,20170810,153823,11.650,11.650,11.650,11.650,500.000,0"
"297,20170810,153838,11.650,11.650,11.650,11.650,500.000,0"
"298,20170810,153847,11.650,11.650,11.650,11.650,2000.000,0"
"299,20170810,153847,11.650,11.650,11.650,11.650,1000.000,0"
"300,20170810,153935,11.650,11.650,11.650,11.650,382.000,0"
"301,20170810,154023,11.650,11.650,11.650,11.650,457.000,0"
"302,20170810,154036,11.650,11.650,11.650,11.650,43.000,0"
"303,20170810,154219,11.600,11.600,11.600,11.600,2595.000,0"
"304,20170810,154315,11.650,11.650,11.650,11.650,836.000,0"
"305,20170810,154434,11.700,11.700,11.700,11.700,400.000,0"
"306,20170810,154437,11.700,11.700,11.700,11.700,153.000,0"
"307,20170810,155306,11.600,11.600,11.600,11.600,1466.000,0"
"308,20170810,155306,11.600,11.600,11.600,11.600,2000.000,0"
"309,20170810,155424,11.650,11.650,11.650,11.650,600.000,0"
"310,20170810,155646,11.600,11.600,11.600,11.600,5033.000,0"
"311,20170810,155648,11.650,11.650,11.650,11.650,1400.000,0"
"312,20170810,155656,11.650,11.650,11.650,11.650,5000.000,0"
"313,20170810,155701,11.650,11.650,11.650,11.650,3600.000,0"
"314,20170810,155727,11.600,11.600,11.600,11.600,2000.000,0"
"315,20170810,155909,11.600,11.600,11.600,11.600,5000.000,0"
"316,20170810,160144,11.600,11.600,11.600,11.600,3000.000,0"
"317,20170810,160156,11.600,11.600,11.600,11.600,2700.000,0"
"318,20170810,160253,11.550,11.550,11.550,11.550,1153.000,0"
"319,20170810,160253,11.550,11.550,11.550,11.550,3000.000,0"
"320,20170810,160253,11.550,11.550,11.550,11.550,519.000,0"
"321,20170810,160253,11.550,11.550,11.550,11.550,2000.000,0"
"322,20170810,160316,11.600,11.600,11.600,11.600,700.000,0"
"323,20170810,160316,11.600,11.600,11.600,11.600,300.000,0"
"324,20170810,160519,11.550,11.550,11.550,11.550,847.000,0"
"325,20170810,160519,11.550,11.550,11.550,11.550,1153.000,0"
"326,20170810,160627,11.550,11.550,11.550,11.550,1590.000,0"
"327,20170810,160749,11.600,11.600,11.600,11.600,3000.000,0"
"328,20170810,160749,11.600,11.600,11.600,11.600,2000.000,0"
"329,20170810,160955,11.600,11.600,11.600,11.600,2000.000,0"
"330,20170810,161032,11.600,11.600,11.600,11.600,1000.000,0"
"331,20170810,161032,11.600,11.600,11.600,11.600,3350.000,0"
"332,20170810,161032,11.600,11.600,11.600,11.600,650.000,0"
"333,20170810,161051,11.600,11.600,11.600,11.600,1276.000,0"
"334,20170810,161117,11.600,11.600,11.600,11.600,1276.000,0"
"335,20170810,161117,11.600,11.600,11.600,11.600,1724.000,0"
"336,20170810,161125,11.600,11.600,11.600,11.600,1000.000,0"
"337,20170810,161219,11.600,11.600,11.600,11.600,318.000,0"
"338,20170810,161219,11.650,11.650,11.650,11.650,110.000,0"
"339,20170810,161219,11.700,11.700,11.700,11.700,372.000,0"
"340,20170810,161704,11.600,11.600,11.600,11.600,1500.000,0"
"341,20170810,161958,11.600,11.600,11.600,11.600,500.000,0"
"342,20170810,162449,11.700,11.700,11.700,11.700,8175.000,0"
"343,20170810,162449,11.700,11.700,11.700,11.700,1825.000,0"
"344,20170810,162534,11.700,11.700,11.700,11.700,1325.000,0"
"345,20170810,162625,11.600,11.600,11.600,11.600,1100.000,0"
"346,20170810,162841,11.600,11.600,11.600,11.600,2500.000,0"
"347,20170810,162841,11.600,11.600,11.600,11.600,1400.000,0"
"348,20170810,162841,11.600,11.600,11.600,11.600,2000.000,0"
"349,20170810,163402,11.650,11.650,11.650,11.650,1300.000,0"
"350,20170810,163435,11.700,11.700,11.700,11.700,500.000,0"
"351,20170810,163441,11.700,11.700,11.700,11.700,500.000,0"
"352,20170810,163620,11.600,11.600,11.600,11.600,400.000,0"
"353,20170810,164117,11.600,11.600,11.600,11.600,700.000,0"
"354,20170810,164159,11.600,11.600,11.600,11.600,100.000,0"
"355,20170810,164159,11.600,11.600,11.600,11.600,5900.000,0"
"356,20170810,164159,11.600,11.600,11.600,11.600,1000.000,0"
"357,20170810,164159,11.600,11.600,11.600,11.600,2600.000,0"
"358,20170810,164610,11.650,11.650,11.650,11.650,706.000,0"
"359,20170810,164641,11.650,11.650,11.650,11.650,7000.000,0"
"360,20170810,164731,11.600,11.600,11.600,11.600,5059.000,0"
"361,20170810,164731,11.600,11.600,11.600,11.600,470.000,0"
"362,20170810,164836,11.650,11.650,11.650,11.650,600.000,0"
"363,20170810,164903,11.650,11.650,11.650,11.650,1994.000,0"
"364,20170810,165337,11.650,11.650,11.650,11.650,684.000,0"
"365,20170810,165337,11.650,11.650,11.650,11.650,3316.000,0"
"366,20170810,165337,11.650,11.650,11.650,11.650,1000.000,0"
"367,20170810,165627,11.700,11.700,11.700,11.700,531.000,0"
"368,20170810,170025,11.800,11.800,11.800,11.800,10.000,0"
"369,20170810,170025,11.800,11.800,11.800,11.800,900.000,0"
"370,20170810,170025,11.800,11.800,11.800,11.800,1000.000,0"
"371,20170810,170025,11.800,11.800,11.800,11.800,4116.000,0"
"372,20170810,170025,11.800,11.800,11.800,11.800,3820.000,0"
"373,20170810,170025,11.800,11.800,11.800,11.800,1974.000,0"
"374,20170810,170025,11.800,11.800,11.800,11.800,90.000,0"
"375,20170811,110020,11.700,11.700,11.700,11.700,2564.000,0"
"376,20170811,110020,11.700,11.700,11.700,11.700,4055.000,0"
"377,20170811,110048,11.700,11.700,11.700,11.700,3000.000,0"
"378,20170811,110050,11.650,11.650,11.650,11.650,858.000,0"
"379,20170811,110409,11.650,11.650,11.650,11.650,2000.000,0"
"380,20170811,110414,11.650,11.650,11.650,11.650,1000.000,0"
"381,20170811,110449,11.650,11.650,11.650,11.650,1500.000,0"
"382,20170811,110550,11.700,11.700,11.700,11.700,3619.000,0"
"383,20170811,110550,11.700,11.700,11.700,11.700,381.000,0"
"384,20170811,110558,11.650,11.650,11.650,11.650,3500.000,0"
"385,20170811,110616,11.650,11.650,11.650,11.650,3500.000,0"
"386,20170811,110630,11.650,11.650,11.650,11.650,5000.000,0"
"387,20170811,110836,11.700,11.700,11.700,11.700,300.000,0"
"388,20170811,110853,11.700,11.700,11.700,11.700,4081.000,0"
"389,20170811,110853,11.700,11.700,11.700,11.700,919.000,0"
"390,20170811,110927,11.700,11.700,11.700,11.700,2035.000,0"
"391,20170811,110927,11.700,11.700,11.700,11.700,4965.000,0"
"392,20170811,111022,11.700,11.700,11.700,11.700,965.000,0"
"393,20170811,111022,11.700,11.700,11.700,11.700,35.000,0"
"394,20170811,111044,11.700,11.700,11.700,11.700,29.000,0"
"395,20170811,111130,11.700,11.700,11.700,11.700,2006.000,0"
"396,20170811,111130,11.700,11.700,11.700,11.700,1252.000,0"
"397,20170811,111153,11.700,11.700,11.700,11.700,1700.000,0"
"398,20170811,111446,11.650,11.650,11.650,11.650,167.000,0"
"399,20170811,111516,11.650,11.650,11.650,11.650,1833.000,0"
"400,20170811,111609,11.700,11.700,11.700,11.700,650.000,0"
"401,20170811,111758,11.700,11.700,11.700,11.700,11243.000,0"
"402,20170811,111758,11.700,11.700,11.700,11.700,1757.000,0"
"403,20170811,111758,11.700,11.700,11.700,11.700,2000.000,0"
"404,20170811,111758,11.700,11.700,11.700,11.700,5000.000,0"
"405,20170811,111834,11.700,11.700,11.700,11.700,5000.000,0"
"406,20170811,111834,11.700,11.700,11.700,11.700,2000.000,0"
"407,20170811,112051,11.650,11.650,11.650,11.650,1000.000,0"
"408,20170811,112244,11.700,11.700,11.700,11.700,1150.000,0"
"409,20170811,112443,11.700,11.700,11.700,11.700,3850.000,0"
"410,20170811,112448,11.750,11.750,11.750,11.750,5000.000,0"
"411,20170811,112448,11.750,11.750,11.750,11.750,3000.000,0"
"412,20170811,112448,11.750,11.750,11.750,11.750,2200.000,0"
"413,20170811,112448,11.750,11.750,11.750,11.750,1500.000,0"
