,Open,Close,"SI(C2<>B2,1,0)"
393,22.63,22.63,0
394,22.4,22.4,0
395,22.51,22.51,0
396,22.82,22.82,0
397,22.85,22.85,0
398,23.01,23.01,0
399,23.03,23.03,0
400,22.93,22.93,0
401,22.84,22.84,0
402,22.79,22.79,0
403,22.8,22.8,0
404,22.7,22.7,0
405,22.79,22.79,0
406,22.87,22.87,0
407,22.94,22.94,0
408,22.93,22.93,0
409,22.83,22.83,0
410,22.75,22.75,0
411,22.9,22.9,0
412,22.88,22.88,0
413,22.85,22.85,0
414,22.9,22.9,0
415,23.08,23.08,0
416,23.24,23.24,0
417,23.28,23.28,0
418,23.28,23.28,0
419,23.42,23.42,0
420,23.47,23.47,0
421,23.53,23.53,0
422,23.62,23.62,0
423,23.5,23.5,0
424,23.6,23.6,0
425,23.71,23.71,0
426,23.69,23.69,0
427,23.62,23.62,0
428,23.59,23.59,0
429,23.59,23.59,0
430,23.57,23.57,0
431,23.4,23.4,0
432,23.3,23.3,0
433,23.38,23.38,0
434,23.4,23.4,0
435,23.27,23.27,0
436,23.26,23.26,0
437,23.47,23.47,0
438,23.64,23.64,0
439,23.79,23.79,0
440,23.72,23.72,0
441,23.78,23.78,0
442,23.75,23.75,0
443,23.65,23.65,0
444,23.61,23.61,0
445,23.7,23.7,0
446,23.85,23.85,0
447,23.77,23.77,0
448,23.69,23.69,0
449,23.67,23.67,0
450,23.32,23.32,0
451,22.75,22.75,0
452,22.84,22.84,0
453,23.03,23.03,0
454,22.96,22.96,0
455,22.81,22.81,0
456,22.69,22.69,0
457,22.66,22.66,0
458,22.94,22.94,0
459,23.1,23.1,0
460,22.93,22.93,0
461,22.82,22.82,0
462,22.49,22.49,0
463,22.47,22.47,0
464,22.75,22.75,0
465,22.79,22.79,0
466,22.85,22.85,0
467,22.84,22.84,0
468,22.82,22.82,0
469,22.73,22.73,0
470,22.68,22.68,0
471,22.64,22.64,0
472,22.4,22.4,0
473,22.43,22.43,0
474,22.66,22.66,0
475,22.61,22.61,0
476,22.67,22.67,0
477,22.88,22.88,0
478,23.01,23.01,0
479,23.14,23.14,0
480,23.07,23.07,0
481,23.34,23.34,0
482,23.38,23.38,0
483,23.42,23.42,0
484,23.3,23.3,0
485,23.37,23.37,0
486,23.39,23.39,0
487,23.37,23.37,0
488,23.41,23.41,0
489,23.49,23.49,0
490,23.57,23.57,0
491,23.57,23.57,0
492,23.51,23.51,0
493,23.54,23.54,0
494,23.44,23.44,0
495,23.65,23.65,0
496,23.69,23.69,0
497,23.77,23.77,0
498,23.8,23.8,0
499,23.88,23.88,0
500,23.92,23.92,0
501,23.91,23.91,0
502,23.82,23.82,0
503,23.74,23.74,0
504,23.86,23.86,0
505,23.98,23.98,0
506,24.16,24.16,0
507,24.06,24.06,0
508,24.09,24.09,0
509,24.2,24.2,0
510,24.25,24.25,0
511,24.46,24.46,0
512,24.66,24.66,0
513,24.54,24.54,0
514,24.56,24.56,0
515,24.55,24.55,0
516,24.61,24.61,0
517,24.57,24.57,0
518,24.23,24.23,0
519,24.14,24.14,0
520,24.3,24.3,0
521,24.12,24.12,0
522,24.11,24.11,0
523,24.18,24.18,0
524,24.11,24.11,0
525,24.24,24.24,0
526,24.11,24.11,0
527,23.92,23.92,0
528,23.87,23.87,0
529,23.86,23.86,0
530,23.74,23.74,0
531,23.36,23.36,0
532,23.09,23.09,0
533,23.16,23.16,0
534,23.23,23.23,0
535,23.15,23.15,0
536,23.18,23.18,0
537,23.29,23.29,0
538,23.26,23.26,0
539,23.29,23.29,0
540,23.68,23.68,0
541,23.71,23.71,0
542,23.69,23.69,0
543,23.72,23.72,0
544,23.6,23.6,0
545,23.62,23.62,0
546,23.73,23.73,0
547,23.75,23.75,0
548,23.75,23.75,0
549,23.92,23.92,0
550,23.87,23.87,0
551,23.82,23.82,0
552,23.89,23.89,0
553,23.93,23.93,0
554,23.93,23.93,0
555,23.79,23.79,0
556,23.78,23.78,0
557,23.99,23.99,0
558,24.18,24.18,0
559,24.37,24.37,0
560,24.18,24.18,0
561,24.12,24.12,0
562,24.12,24.12,0
563,24.02,24.02,0
564,23.8,23.8,0
565,23.91,23.91,0
566,23.94,23.94,0
567,24.11,24.11,0
568,23.95,23.95,0
569,23.65,23.65,0
570,23.58,23.58,0
571,23.41,23.41,0
572,23.5,23.5,0
573,23.69,23.69,0
574,23.58,23.58,0
575,23.48,23.48,0
576,23.43,23.43,0
577,23.54,23.54,0
578,23.55,23.55,0
579,23.49,23.49,0
580,23.32,23.32,0
581,23.17,23.17,0
582,23.56,23.56,0
583,23.66,23.66,0
584,23.67,23.67,0
585,23.81,23.81,0
586,23.86,23.86,0
587,23.84,23.84,0
588,23.75,23.75,0
589,23.78,23.78,0
590,23.68,23.68,0
591,23.6,23.6,0
592,23.56,23.56,0
593,23.61,23.61,0
594,23.74,23.74,0
595,23.78,23.78,0
596,23.91,23.91,0
597,23.89,23.89,0
598,23.94,23.94,0
599,23.88,23.88,0
600,23.84,23.84,0
601,23.86,23.86,0
602,23.8,23.8,0
603,23.78,23.78,0
604,23.95,23.95,0
605,24.1,24.1,0
606,24.26,24.26,0
607,24.37,24.37,0
608,24.23,24.23,0
609,24.31,24.31,0
610,24.31,24.31,0
611,24.37,24.37,0
612,24.3,24.3,0
613,24.33,24.33,0
614,24.43,24.43,0
615,24.51,24.51,0
616,24.59,24.59,0
617,24.56,24.56,0
618,24.6,24.6,0
619,24.66,24.66,0
620,24.75,24.75,0
621,24.83,24.83,0
622,24.96,24.96,0
623,25.12,25.12,0
624,25.06,25.06,0
625,25.05,25.05,0
626,24.97,24.97,0
627,24.96,24.96,0
628,24.86,24.86,0
629,24.81,24.81,0
630,24.98,24.98,0
631,25.03,25.03,0
632,25.16,25.16,0
633,25.16,25.16,0
634,25.05,25.05,0
635,24.85,24.85,0
636,24.95,24.95,0
637,25,25,0
638,25.11,25.11,0
639,25.24,25.24,0
640,25.16,25.16,0
641,25.2,25.2,0
642,25.26,25.26,0
643,25.37,25.37,0
644,25.4,25.4,0
645,25.45,25.45,0
646,25.43,25.43,0
647,25.46,25.46,0
648,25.44,25.44,0
649,25.52,25.52,0
650,25.55,25.55,0
651,25.52,25.52,0
652,25.31,25.31,0
653,25.28,25.28,0
654,25.28,25.28,0
655,25.2,25.2,0
656,24.94,24.94,0
657,24.89,24.89,0
658,24.95,24.95,0
659,24.98,24.98,0
660,24.99,24.99,0
661,24.87,24.87,0
662,24.83,24.83,0
663,24.94,24.94,0
664,24.97,24.97,0
665,25.03,25.03,0
666,25.15,25.15,0
667,25.25,25.25,0
668,25.24,25.24,0
669,25.21,25.21,0
670,25.11,25.11,0
671,24.86,24.86,0
672,24.69,24.69,0
673,24.72,24.72,0
674,24.71,24.71,0
675,24.45,24.45,0
676,24.53,24.53,0
677,24.58,24.58,0
678,24.51,24.51,0
679,24.57,24.57,0
680,24.59,24.59,0
681,24.7,24.7,0
682,24.79,24.79,0
683,24.81,24.81,0
684,24.73,24.73,0
685,24.68,24.68,0
686,24.54,24.54,0
687,24.48,24.48,0
688,24.52,24.52,0
689,24.5,24.5,0
690,24.44,24.44,0
691,24.4,24.4,0
692,24.58,24.58,0
693,24.57,24.57,0
694,24.55,24.55,0
695,24.48,24.48,0
696,24.06,24.06,0
697,23.91,23.91,0
698,24.2,24.2,0
699,24.13,24.13,0
700,24.07,24.07,0
701,23.8,23.8,0
702,23.87,23.87,0
703,24.03,24.03,0
704,24.09,24.09,0
705,24.13,24.13,0
706,24.15,24.15,0
707,24.15,24.15,0
708,24.52,24.52,0
709,24.6,24.6,0
710,24.67,24.67,0
711,24.77,24.77,0
712,24.78,24.78,0
713,24.77,24.77,0
714,24.65,24.65,0
715,24.71,24.71,0
716,24.75,24.75,0
717,24.8,24.8,0
718,25.16,25.16,0
719,25.33,25.33,0
720,25.28,25.28,0
721,25.27,25.27,0
722,25.42,25.42,0
723,25.36,25.36,0
724,25.52,25.52,0
725,25.66,25.66,0
726,25.68,25.68,0
727,25.74,25.74,0
728,25.71,25.71,0
729,25.61,25.61,0
730,25.62,25.62,0
731,25.76,25.76,0
732,25.93,25.93,0
733,25.98,25.98,0
734,25.96,25.96,0
735,26.04,26.04,0
736,26.04,26.04,0
737,26.07,26.07,0
738,26.04,26.04,0
739,26.03,26.03,0
740,26.15,26.15,0
741,26.3,26.3,0
742,26.19,26.19,0
743,26.21,26.21,0
744,26.25,26.25,0
745,26.4,26.4,0
746,26.59,26.59,0
747,26.57,26.57,0
748,26.54,26.54,0
749,26.66,26.66,0
750,26.48,26.48,0
751,26.37,26.37,0
752,26.33,26.33,0
753,26.08,26.08,0
754,25.86,25.86,0
755,26.02,26.02,0
756,26.08,26.08,0
757,26.13,26.13,0
758,26.02,26.02,0
759,26.01,26.01,0
760,26.14,26.14,0
761,26.09,26.09,0
762,26.12,26.12,0
763,26.07,26.07,0
764,26.02,26.02,0
765,26.05,26.05,0
766,26.13,26.13,0
767,26.2,26.2,0
768,26.38,26.38,0
769,26.51,26.51,0
770,26.54,26.54,0
771,26.42,26.42,0
772,26.15,26.15,0
773,26.51,26.51,0
774,25.69,25.69,0
775,25.62,25.62,0
776,25.64,25.64,0
777,25.74,25.74,0
778,25.65,25.65,0
779,25.5,25.5,0
780,25.48,25.48,0
781,25.57,25.57,0
782,25.63,25.63,0
783,25.75,25.75,0
784,25.91,25.91,0
785,25.95,25.95,0
786,25.9,25.9,0
787,25.93,25.93,0
788,26,26,0
789,25.78,25.78,0
790,25.79,25.79,0
791,25.84,25.84,0
792,25.83,25.83,0
793,25.91,25.91,0
794,26.12,26.12,0
795,26.13,26.13,0
796,26.18,26.18,0
797,26.22,26.22,0
798,26.33,26.33,0
799,26.24,26.24,0
800,26.22,26.22,0
801,26.18,26.18,0
802,26.02,26.02,0
803,26.17,26.17,0
804,26.1,26.1,0
805,25.95,25.95,0
806,25.99,25.99,0
807,25.61,25.61,0
808,25.29,25.29,0
809,25.25,25.25,0
810,25.23,25.23,0
811,24.61,24.61,0
812,24.71,24.71,0
813,24.93,24.93,0
814,24.88,24.88,0
815,24.82,24.82,0
816,24.77,24.77,0
817,24.86,24.86,0
818,24.96,24.96,0
819,24.91,24.91,0
820,24.62,24.62,0
821,24.73,24.73,0
822,24.67,24.67,0
823,24.46,24.46,0
824,24.19,24.19,0
825,24.2,24.2,0
826,24.34,24.34,0
827,24.52,24.52,0
828,24.68,24.68,0
829,24.62,24.62,0
830,24.73,24.73,0
831,25,25,0
832,25.03,25.03,0
833,25,25,0
834,24.9,24.9,0
835,24.9,24.9,0
836,24.91,24.91,0
837,24.74,24.74,0
838,24.71,24.71,0
839,24.85,24.85,0
840,24.84,24.84,0
841,24.75,24.75,0
842,24.7,24.7,0
843,24.93,24.93,0
844,25.06,25.06,0
845,25.03,25.03,0
846,24.99,24.99,0
847,24.87,24.87,0
848,24.64,24.64,0
849,24.46,24.46,0
850,24.54,24.54,0
851,24.15,24.15,0
852,24.22,24.22,0
853,24.18,24.18,0
854,24.03,24.03,0
855,24.09,24.09,0
856,24.01,24.01,0
857,23.6,23.6,0
858,23.54,23.54,0
859,23.75,23.75,0
860,23.82,23.82,0
861,23.62,23.62,0
862,23.55,23.55,0
863,23.85,23.85,0
864,23.84,23.84,0
865,23.84,23.84,0
866,23.96,23.96,0
867,24.12,24.12,0
868,24.09,24.09,0
869,24.19,24.19,0
870,24.21,24.21,0
871,24.14,24.14,0
872,24.14,24.14,0
873,24.24,24.24,0
874,24.31,24.31,0
875,24.36,24.36,0
876,24.38,24.38,0
877,24.51,24.51,0
878,24.5,24.5,0
879,24.43,24.43,0
880,24.41,24.41,0
881,24.17,24.17,0
882,24.08,24.08,0
883,24.15,24.15,0
884,24.18,24.18,0
885,24.35,24.35,0
886,24.22,24.22,0
887,24.16,24.16,0
888,24.19,24.19,0
889,24.23,24.23,0
890,24.23,24.23,0
891,24.07,24.07,0
892,24.11,24.11,0
893,24.26,24.26,0
894,24.49,24.49,0
895,24.75,24.75,0
896,24.84,24.84,0
897,24.78,24.78,0
898,24.68,24.68,0
899,24.8,24.8,0
900,24.78,24.78,0
901,24.75,24.75,0
902,24.72,24.72,0
903,24.78,24.78,0
904,24.73,24.73,0
905,24.62,24.62,0
906,24.56,24.56,0
907,24.46,24.46,0
908,24.31,24.31,0
909,24.29,24.29,0
910,24.35,24.35,0
911,24.09,24.09,0
912,23.93,23.93,0
913,23.86,23.86,0
914,23.79,23.79,0
915,23.74,23.74,0
916,23.32,23.32,0
917,23.42,23.42,0
918,23.56,23.56,0
919,23.51,23.51,0
920,23.57,23.57,0
921,23.61,23.61,0
922,23.65,23.65,0
923,23.41,23.41,0
924,23.14,23.14,0
925,22.71,22.71,0
926,22.9,22.9,0
927,23.01,23.01,0
928,23.07,23.07,0
929,22.95,22.95,0
930,22.88,22.88,0
931,23.2,23.2,0
932,23.23,23.23,0
933,23.24,23.24,0
934,23.3,23.3,0
935,23.45,23.45,0
936,23.49,23.49,0
937,23.35,23.35,0
938,23.49,23.49,0
939,23.59,23.59,0
940,23.48,23.48,0
941,23.39,23.39,0
942,23.58,23.58,0
943,23.62,23.62,0
944,23.66,23.66,0
945,23.57,23.57,0
946,23.68,23.68,0
947,23.95,23.95,0
948,24.14,24.14,0
949,24.16,24.16,0
950,24.17,24.17,0
951,24.19,24.19,0
952,24.3,24.3,0
953,24.35,24.35,0
954,24.31,24.31,0
955,24.26,24.26,0
956,24.29,24.29,0
957,24.58,24.58,0
958,24.54,24.54,0
959,24.66,24.66,0
960,24.51,24.51,0
961,24.64,24.64,0
962,24.61,24.61,0
963,24.66,24.66,0
964,24.37,24.37,0
965,24.46,24.46,0
966,24.54,24.54,0
967,24.38,24.38,0
968,24.25,24.25,0
969,24.29,24.29,0
970,24.4,24.4,0
971,24.44,24.44,0
972,24.36,24.36,0
973,24.5,24.5,0
974,24.52,24.52,0
975,24.66,24.66,0
976,24.76,24.76,0
977,24.78,24.78,0
978,24.95,24.95,0
979,24.97,24.97,0
980,24.98,24.98,0
981,24.95,24.95,0
982,24.87,24.87,0
983,24.84,24.84,0
984,24.78,24.78,0
985,24.76,24.76,0
986,24.69,24.69,0
987,24.71,24.71,0
988,24.96,24.96,0
989,24.94,24.94,0
990,24.99,24.99,0
991,24.95,24.95,0
992,24.76,24.76,0
993,24.69,24.69,0
994,24.8,24.8,0
995,24.71,24.71,0
996,24.55,24.55,0
997,24.76,24.76,0
998,24.81,24.81,0
999,24.95,24.95,0
1000,25.1,25.1,0
1001,25.14,25.14,0
1002,25.06,25.06,0
1003,24.93,24.93,0
1004,24.8,24.8,0
1005,24.93,24.93,0
1006,25.07,25.07,0
1007,25.19,25.19,0
1008,25.43,25.43,0
1009,25.43,25.43,0
1010,25.68,25.68,0
1011,25.75,25.75,0
1012,25.79,25.79,0
1013,25.85,25.85,0
1014,25.93,25.93,0
1015,26.09,26.09,0
1016,26.01,26.01,0
1017,26.02,26.02,0
1018,26.08,26.08,0
1019,25.99,25.99,0
1020,25.92,25.92,0
1021,26.01,26.01,0
1022,26.2,26.2,0
1023,26.3,26.3,0
1024,26.23,26.23,0
1025,26.17,26.17,0
1026,26.14,26.14,0
1027,26.06,26.06,0
1028,26.12,26.12,0
1029,26.04,26.04,0
1030,25.81,25.81,0
1031,25.86,25.86,0
1032,25.86,25.86,0
1033,25.92,25.92,0
1034,25.83,25.83,0
1035,25.83,25.83,0
1036,25.91,25.91,0
1037,26.15,26.15,0
1038,26.25,26.25,0
1039,26.32,26.32,0
1040,26.32,26.32,0
1041,26.41,26.41,0
1042,26.52,26.52,0
1043,26.45,26.45,0
1044,26.51,26.51,0
1045,26.57,26.57,0
1046,26.69,26.69,0
1047,26.69,26.69,0
1048,26.57,26.57,0
1049,26.56,26.56,0
1050,26.62,26.62,0
1051,26.73,26.73,0
1052,26.81,26.81,0
1053,26.79,26.79,0
1054,26.6,26.6,0
1055,26.47,26.47,0
1056,26.42,26.42,0
1057,26.56,26.56,0
1058,26.66,26.66,0
