,Open,Open t-1,Close t-1,Vol t-1,Vol historico (Prom),Si close es mayor a open =1
258,35.69,35.48,35.9,240000,141591,0
259,34.13,35.69,34.76,431000,141843,0
260,34.13,34.13,34.13,798600,141928,1
261,31.13,30.61,31.13,305000,143080,0
262,34.45,34.45,34.24,231000,144876,1
263,36.52,36.52,36.52,550800,145403,0
264,34.34,34.34,34.34,203400,145600,0
265,32.58,33.62,32.79,365700,145810,1
266,33.2,33.1,33.2,191500,145919,1
267,37.35,38.18,37.97,336300,147413,0
268,36.83,37.14,36.83,316200,147925,1
269,39.74,39.22,39.74,280200,149474,1
270,40.57,40.77,40.77,329200,149582,0
271,36.42,36.31,36.31,592600,150588,0
272,38.39,38.49,38.49,262200,150921,0
273,36.31,36.52,36.31,427400,151407,1
274,38.8,39.11,38.91,198400,152418,0
275,23.55,23.76,23.76,659700,155155,0
276,22.41,22.2,22.72,221600,155280,1
277,21.48,21.58,21.17,412500,155824,1
278,19.82,19.5,19.61,665500,157467,1
279,21.48,20.65,21.27,553600,157745,0
280,22.31,21.79,22.31,603800,158405,0
281,22.31,22.1,22.2,164000,158482,0
282,21.48,20.85,20.85,78400,158549,1
283,21.79,21.79,22,149600,158561,0
284,21.37,21.79,21.68,200400,158606,0
285,22.93,23.86,22.93,293700,159154,1
286,23.86,22.93,23.45,94600,159398,1
287,25.11,25.42,25.11,604800,160443,0
288,23.55,24.28,23.45,334400,160699,0
289,22.83,23.14,22.72,210300,161265,0
290,20.23,21.37,20.44,644200,161471,1
291,20.75,20.75,20.96,190800,161824,0
292,23.03,22.62,23.14,230500,164964,0
293,22.1,22.2,22.1,91500,164912,0
294,21.68,22.1,21.58,228000,164939,0
295,20.65,21.17,20.65,178000,164856,0
296,22.41,22.83,22.41,459400,165609,0
297,22,22.41,22.2,650200,165938,1
298,23.14,23.24,23.24,639900,167267,1
299,23.03,22.83,23.03,486900,168015,1
300,23.86,24.07,23.76,491700,170250,0
301,23.55,23.45,23.66,236400,170351,1
302,23.76,23.55,23.76,145900,170825,1
303,23.97,23.86,24.07,138400,171153,0
304,23.76,23.97,23.97,275600,171148,1
305,23.24,23.45,23.24,378300,171441,1
