,Open,Close,"SI(C2>B2,1,0)"
418,72.58,72.99,1
419,72.99,73.2,1
420,73.2,73.15,0
421,73.15,73.17,1
422,73.17,73.07,0
423,73.07,73.12,1
424,73.12,72.8,0
425,72.8,73.22,1
426,73.22,73.3,1
427,73.3,72.96,0
428,72.96,73.3,1
429,73.3,72.89,0
430,72.89,72.27,0
431,72.27,72.13,0
432,72.13,71.7,0
433,71.7,72.22,1
434,72.22,72.3,1
435,72.3,72.83,1
436,72.83,72.85,1
437,72.85,72.7,0
438,72.7,72.6,0
439,71.98,71.87,0
440,71.87,72.2,1
441,72.2,72.27,1
442,72.27,72.3,1
443,72.3,72.4,1
444,72.4,72.97,1
445,72.97,73.26,1
446,73.26,73.32,1
447,73.32,73.38,1
448,73.38,72.96,0
449,72.96,73,1
450,73,73.28,1
451,73.28,74.01,1
452,74.01,74.48,1
453,74.48,74.46,0
454,74.46,73.8,0
455,73.8,74.01,1
456,74.01,73.83,0
457,73.83,73.45,0
458,73.45,72.81,0
459,72.81,73.06,1
460,73.06,73.36,1
461,73.23,73.29,1
462,73.29,72.95,0
463,72.95,72.35,0
464,72.35,71.83,0
465,71.83,71.9,1
466,71.9,72.56,1
467,72.56,71.62,0
468,71.62,69.61,0
469,71.4,72.38,1
470,72.38,72.25,0
471,72.25,73.23,1
472,73.23,73.66,1
473,73.66,73.62,0
474,73.62,73.8,1
475,73.8,74.28,1
476,74.28,74,0
477,74,73.96,0
478,73.96,73.99,1
479,73.99,73.9,0
480,73.9,73.91,1
481,73.91,74.06,1
482,74.06,74.3,1
483,74.3,74.74,1
484,74.74,74.63,0
485,74.63,74.4,0
486,74.4,74.28,0
487,74.28,73.81,0
488,73.81,73.97,1
489,73.97,74.32,1
490,74.32,74.44,1
491,74.44,74.56,1
492,74.56,75.02,1
493,75.02,75.43,1
494,75.43,75.5,1
495,75.5,75.67,1
496,75.67,75.69,1
497,75.69,76,1
498,76,76.28,1
499,76.28,76.24,0
500,76.24,76.22,0
501,76.22,76.36,1
502,76.36,76.64,1
503,76.64,76.55,0
504,76.55,76.56,1
505,76.56,76.41,0
506,76.41,76.62,1
507,76.62,77.03,1
508,77.03,77.09,1
509,77.09,77.11,1
510,77.11,77.08,0
511,77.08,77.1,1
512,77.1,76.63,0
513,76.63,76.7,1
514,76.7,77.04,1
515,77.04,76.97,0
516,76.97,76.88,0
517,76.88,76.75,0
518,76.75,76.93,1
519,76.93,77.18,1
520,77.18,77.05,0
521,77.05,77.33,1
522,77.33,77.57,1
523,77.57,77.52,0
524,77.52,77.48,0
525,77.48,77.46,0
526,77.46,77.47,1
527,77.47,77.55,1
528,77.55,77.62,1
529,77.62,77.68,1
530,77.68,77.87,1
531,77.87,77.62,0
532,77.62,77.8,1
533,77.8,77.97,1
534,77.97,78.22,1
535,78.22,78.07,0
536,78.07,78.06,0
537,78.06,78.31,1
538,78.31,78.33,1
539,78.33,78.59,1
540,78.59,78.95,1
541,78.95,79.08,1
542,79.08,79.14,1
543,79.14,79.32,1
544,79.32,79.38,1
545,79.38,79.3,0
546,79.3,78.92,0
547,78.92,78.93,1
548,78.93,78.79,0
549,78.79,78.98,1
550,78.98,79.19,1
551,79.19,79.14,0
552,79.14,78.98,0
553,78.98,79.24,1
554,79.24,79.7,1
555,79.7,79.94,1
556,79.94,80.02,1
557,80.02,79.74,0
558,79.74,79.75,1
559,79.75,79.7,0
560,79.7,79.85,1
561,79.85,79.77,0
562,79.77,79.99,1
563,79.99,80.09,1
564,80.09,80.2,1
565,80.2,80.55,1
566,80.55,80.5,0
567,80.5,80.54,1
568,80.54,80.49,0
569,80.49,80.38,0
570,80.38,79.75,0
571,79.75,79.35,0
572,79.35,79.9,1
573,79.9,79.7,0
574,79.7,79.46,0
575,79.46,80.17,1
576,80.17,80.47,1
577,80.47,80.88,1
578,80.88,81.06,1
579,81.06,81.15,1
580,81,80.9,0
581,80.9,81.16,1
582,81.16,80.97,0
583,80.97,80.86,0
584,80.86,81.1,1
585,81.1,80.72,0
586,80.72,80.3,0
587,80.3,80.66,1
588,80.66,80.94,1
589,80.94,80.73,0
590,80.73,80.56,0
591,80.56,80.39,0
592,80.39,80.26,0
593,80.26,80.37,1
594,80.37,80.11,0
595,80.11,79.7,0
596,79.7,79.49,0
597,79.49,78.67,0
598,78.67,79.02,1
599,79.02,78.64,0
600,78.64,79.14,1
601,79.14,79.44,1
602,79.44,79.73,1
603,79.73,79.6,0
604,79.6,79.97,1
605,79.97,80.4,1
606,80.4,80.81,1
607,80.81,80.79,0
608,80.79,80.89,1
609,80.89,81.11,1
610,81.11,80.77,0
611,80.77,81.06,1
612,81.06,81.21,1
613,81.21,81.46,1
614,81.46,81.64,1
615,81.64,81.69,1
616,81.69,82.27,1
617,82.27,82.6,1
618,82.6,82.98,1
619,82.98,83.12,1
620,83.12,83.22,1
621,83.22,83.36,1
622,83.36,83.31,0
623,83.31,83.06,0
624,83.06,83.34,1
625,83.34,83.64,1
626,83.64,84.01,1
627,84.01,83.74,0
628,83.74,83.54,0
629,83.54,83.52,0
630,83.52,83.48,0
631,83.48,83.46,0
632,83.46,83.08,0
633,83.08,82.85,0
634,82.85,82.92,1
635,82.92,83.09,1
