,Precio,VN,PXQ,Hora,Min,Segundo,Mayor,Menor,Igual,Variac c resp a precio operado anterior
213,11.95,"2,000.00","23,900.00",14,21,6,0,0,1,0
214,11.95,"2,500.00","29,875.00",14,23,23,0,0,1,0
215,11.9,163,"1,939.70",14,23,54,0,1,0,-1
216,11.9,"1,837.00","21,860.30",14,25,11,0,0,1,0
217,11.95,"2,500.00","29,875.00",14,26,56,1,0,0,1
218,11.95,400,"4,780.00",14,26,56,0,0,1,0
219,11.95,"1,210.00","14,459.50",14,27,15,0,0,1,0
220,11.95,600,"7,170.00",14,27,15,0,0,1,0
221,11.95,251,"2,999.45",14,27,26,0,0,1,0
222,11.95,539,"6,441.05",14,27,43,0,0,1,0
223,12,61,732,14,27,43,1,0,0,1
224,11.95,600,"7,170.00",14,27,43,0,1,0,-1
225,12,18,216,14,28,35,1,0,0,1
226,11.9,10,119,14,29,22,0,1,0,-1
227,11.9,300,"3,570.00",14,30,45,0,0,1,0
228,12,"1,950.00","23,400.00",14,31,11,1,0,0,1
229,11.9,"12,000.00","142,800.00",14,31,40,0,1,0,-1
230,11.95,"10,000.00","119,500.00",14,31,40,1,0,0,1
231,11.9,"1,622.00","19,301.80",14,31,40,0,1,0,-1
232,11.9,840,"9,996.00",14,33,32,0,0,1,0
233,11.9,"2,360.00","28,084.00",14,34,3,0,0,1,0
234,11.9,640,"7,616.00",14,34,45,0,0,1,0
235,11.9,"1,500.00","17,850.00",14,38,4,0,0,1,0
236,11.9,"5,000.00","59,500.00",14,38,4,0,0,1,0
237,11.9,500,"5,950.00",14,38,32,0,0,1,0
238,11.85,"3,400.00","40,290.00",14,38,44,0,1,0,-1
239,11.85,700,"8,295.00",14,38,44,0,0,1,0
240,11.75,"5,000.00","58,750.00",14,39,44,0,1,0,-1
241,11.8,700,"8,260.00",14,39,44,1,0,0,1
242,11.8,"1,694.00","19,989.20",14,39,44,0,0,1,0
243,11.75,500,"5,875.00",14,39,44,0,1,0,-1
244,11.75,500,"5,875.00",14,39,44,0,0,1,0
245,11.75,"5,000.00","58,750.00",14,39,44,0,0,1,0
246,11.75,20,235,14,39,48,0,0,1,0
247,11.85,300,"3,555.00",14,41,23,1,0,0,1
248,11.9,"1,000.00","11,900.00",14,43,26,1,0,0,1
249,11.85,"1,908.00","22,609.80",14,43,26,0,1,0,-1
250,11.9,33,392.7,14,43,26,1,0,0,1
251,11.85,300,"3,555.00",14,50,6,0,1,0,-1
252,11.85,"1,000.00","11,850.00",14,51,6,0,0,1,0
253,11.85,"1,000.00","11,850.00",14,51,32,0,0,1,0
254,11.8,509,"6,006.20",14,54,41,0,1,0,-1
255,11.8,"1,288.00","15,198.40",14,54,41,0,0,1,0
256,11.8,400,"4,720.00",14,54,41,0,0,1,0
257,11.8,456,"5,380.80",14,57,41,0,0,1,0
258,11.9,"1,428.00","16,993.20",14,57,51,1,0,0,1
259,11.85,"2,500.00","29,625.00",14,57,51,0,1,0,-1
260,11.9,"1,072.00","12,756.80",14,57,51,1,0,0,1
261,11.8,142,"1,675.60",15,0,5,0,1,0,-1
262,11.75,"1,801.00","21,161.75",15,3,21,0,1,0,-1
263,11.75,697,"8,189.75",15,3,21,0,0,1,0
264,11.8,502,"5,923.60",15,3,21,1,0,0,1
265,11.75,"5,000.00","58,750.00",15,7,9,0,1,0,-1
266,11.75,"1,439.00","16,908.25",15,7,9,0,0,1,0
267,11.7,"5,000.00","58,500.00",15,8,29,0,1,0,-1
268,11.7,"1,459.00","17,070.30",15,8,29,0,0,1,0
269,11.7,"7,200.00","84,240.00",15,8,29,0,0,1,0
270,11.65,"9,060.00","105,549.00",15,8,36,0,1,0,-1
271,11.65,"1,000.00","11,650.00",15,8,36,0,0,1,0
272,11.65,"10,000.00","116,500.00",15,8,36,0,0,1,0
273,11.75,50,587.5,15,11,35,1,0,0,1
274,11.7,25,292.5,15,12,7,0,1,0,-1
275,11.8,26,306.8,15,13,21,1,0,0,1
