,Precio,VN,PXQ,Hora,Min,Segundo,Mayor Vol,Menor Vol,Igual Vol,Si es 1 es igual si es cero es MAYOR O MENOR
235,11.9,1500,17850,14,38,4,1,0,0,1
236,11.9,5000,59500,14,38,4,1,0,0,1
237,11.9,500,5950,14,38,32,0,1,0,1
238,11.85,3400,40290,14,38,44,1,0,0,0
239,11.85,700,8295,14,38,44,0,1,0,1
240,11.75,5000,58750,14,39,44,1,0,0,0
241,11.8,700,8260,14,39,44,0,1,0,0
242,11.8,1694,19989.2,14,39,44,1,0,0,1
243,11.75,500,5875,14,39,44,0,1,0,0
244,11.75,500,5875,14,39,44,0,0,1,1
245,11.75,5000,58750,14,39,44,1,0,0,1
246,11.75,20,235,14,39,48,0,1,0,1
247,11.85,300,3555,14,41,23,1,0,0,0
248,11.9,1000,11900,14,43,26,1,0,0,0
249,11.85,1908,22609.8,14,43,26,1,0,0,0
250,11.9,33,392.7,14,43,26,0,1,0,0
251,11.85,300,3555,14,50,6,1,0,0,0
252,11.85,1000,11850,14,51,6,1,0,0,1
253,11.85,1000,11850,14,51,32,0,0,1,1
254,11.8,509,6006.2,14,54,41,0,1,0,0
255,11.8,1288,15198.4,14,54,41,1,0,0,1
256,11.8,400,4720,14,54,41,0,1,0,1
257,11.8,456,5380.8,14,57,41,1,0,0,1
258,11.9,1428,16993.2,14,57,51,1,0,0,0
259,11.85,2500,29625,14,57,51,1,0,0,0
260,11.9,1072,12756.8,14,57,51,0,1,0,0
261,11.8,142,1675.6,15,0,5,0,1,0,0
262,11.75,1801,21161.75,15,3,21,1,0,0,0
263,11.75,697,8189.75,15,3,21,0,1,0,1
264,11.8,502,5923.6,15,3,21,0,1,0,0
265,11.75,5000,58750,15,7,9,1,0,0,0
266,11.75,1439,16908.25,15,7,9,0,1,0,1
267,11.7,5000,58500,15,8,29,1,0,0,0
268,11.7,1459,17070.3,15,8,29,0,1,0,1
269,11.7,7200,84240,15,8,29,1,0,0,1
270,11.65,9060,105549,15,8,36,1,0,0,0
271,11.65,1000,11650,15,8,36,0,1,0,1
272,11.65,10000,116500,15,8,36,1,0,0,1
273,11.75,50,587.5,15,11,35,0,1,0,0
274,11.7,25,292.5,15,12,7,0,1,0,0
275,11.8,26,306.8,15,13,21,1,0,0,0
276,11.75,106,1245.5,15,16,51,1,0,0,0
277,11.65,1500,17475,15,17,8,1,0,0,0
278,11.65,40,466,15,17,8,0,1,0,1
279,11.65,6700,78055,15,17,8,1,0,0,1
280,11.7,25,292.5,15,21,44,0,1,0,0
281,11.7,606,7090.2,15,24,14,1,0,0,1
282,11.7,2394,28009.8,15,24,14,1,0,0,1
283,11.55,2933,33876.15,15,27,14,1,0,0,0
284,11.6,2000,23200,15,27,14,0,1,0,0
285,11.6,2000,23200,15,27,14,0,0,1,1
286,11.6,2000,23200,15,30,14,0,0,1,1
287,11.6,5000,58000,15,30,14,1,0,0,1
288,11.7,1493,17468.1,15,30,37,0,1,0,0
289,11.7,20,234,15,31,30,0,1,0,1
290,11.7,180,2106,15,31,44,1,0,0,1
291,11.6,1020,11832,15,33,9,1,0,0,0
292,11.6,1000,11600,15,33,9,0,1,0,1
293,11.6,1000,11600,15,34,10,0,0,1,1
294,11.6,2000,23200,15,34,10,1,0,0,1
295,11.65,1000,11650,15,38,1,0,1,0,0
296,11.65,500,5825,15,38,23,0,1,0,1
297,11.65,500,5825,15,38,38,0,0,1,1
298,11.65,2000,23300,15,38,47,1,0,0,1
299,11.65,1000,11650,15,38,47,0,1,0,1
300,11.65,382,4450.3,15,39,35,0,1,0,1
301,11.65,457,5324.05,15,40,23,1,0,0,1
302,11.65,43,500.95,15,40,36,0,1,0,1
303,11.6,2595,30102,15,42,19,1,0,0,0
304,11.65,836,9739.4,15,43,15,0,1,0,0
305,11.7,400,4680,15,44,34,0,1,0,0
306,11.7,153,1790.1,15,44,37,0,1,0,1
307,11.6,1466,17005.6,15,53,6,1,0,0,0
308,11.6,2000,23200,15,53,6,1,0,0,1
309,11.65,600,6990,15,54,24,0,1,0,0
310,11.6,5033,58382.8,15,56,46,1,0,0,0
311,11.65,1400,16310,15,56,48,0,1,0,0
312,11.65,5000,58250,15,56,56,1,0,0,1
313,11.65,3600,41940,15,57,1,0,1,0,1
314,11.6,2000,23200,15,57,27,0,1,0,0
315,11.6,5000,58000,15,59,9,1,0,0,1
316,11.6,3000,34800,16,1,44,0,1,0,1
317,11.6,2700,31320,16,1,56,0,1,0,1
318,11.55,1153,13317.15,16,2,53,0,1,0,0
319,11.55,3000,34650,16,2,53,1,0,0,1
320,11.55,519,5994.45,16,2,53,0,1,0,1
321,11.55,2000,23100,16,2,53,1,0,0,1
322,11.6,700,8120,16,3,16,0,1,0,0
323,11.6,300,3480,16,3,16,0,1,0,1
324,11.55,847,9782.85,16,5,19,1,0,0,0
325,11.55,1153,13317.15,16,5,19,1,0,0,1
326,11.55,1590,18364.5,16,6,27,1,0,0,1
327,11.6,3000,34800,16,7,49,1,0,0,0
328,11.6,2000,23200,16,7,49,0,1,0,1
329,11.6,2000,23200,16,9,55,0,0,1,1
330,11.6,1000,11600,16,10,32,0,1,0,1
331,11.6,3350,38860,16,10,32,1,0,0,1
332,11.6,650,7540,16,10,32,0,1,0,1
333,11.6,1276,14801.6,16,10,51,1,0,0,1
334,11.6,1276,14801.6,16,11,17,0,0,1,1
335,11.6,1724,19998.4,16,11,17,1,0,0,1
336,11.6,1000,11600,16,11,25,0,1,0,1
337,11.6,318,3688.8,16,12,19,0,1,0,1
338,11.65,110,1281.5,16,12,19,0,1,0,0
339,11.7,372,4352.4,16,12,19,1,0,0,0
340,11.6,1500,17400,16,17,4,1,0,0,0
341,11.6,500,5800,16,19,58,0,1,0,1
342,11.7,8175,95647.5,16,24,49,1,0,0,0
343,11.7,1825,21352.5,16,24,49,0,1,0,1
344,11.7,1325,15502.5,16,25,34,0,1,0,1
345,11.6,1100,12760,16,26,25,0,1,0,0
346,11.6,2500,29000,16,28,41,1,0,0,1
347,11.6,1400,16240,16,28,41,0,1,0,1
348,11.6,2000,23200,16,28,41,1,0,0,1
349,11.65,1300,15145,16,34,2,0,1,0,0
350,11.7,500,5850,16,34,35,0,1,0,0
351,11.7,500,5850,16,34,41,0,0,1,1
352,11.6,400,4640,16,36,20,0,1,0,0
353,11.6,700,8120,16,41,17,1,0,0,1
354,11.6,100,1160,16,41,59,0,1,0,1
355,11.6,5900,68440,16,41,59,1,0,0,1
356,11.6,1000,11600,16,41,59,0,1,0,1
357,11.6,2600,30160,16,41,59,1,0,0,1
358,11.65,706,8224.9,16,46,10,0,1,0,0
359,11.65,7000,81550,16,46,41,1,0,0,1
360,11.6,5059,58684.4,16,47,31,0,1,0,0
361,11.6,470,5452,16,47,31,0,1,0,1
362,11.65,600,6990,16,48,36,1,0,0,0
363,11.65,1994,23230.1,16,49,3,1,0,0,1
364,11.65,684,7968.6,16,53,37,0,1,0,1
365,11.65,3316,38631.4,16,53,37,1,0,0,1
366,11.65,1000,11650,16,53,37,0,1,0,1
367,11.7,531,6212.7,16,56,27,0,1,0,0
368,11.8,10,118,17,0,25,0,1,0,0
369,11.8,900,10620,17,0,25,1,0,0,1
370,11.8,1000,11800,17,0,25,1,0,0,1
371,11.8,4116,48568.8,17,0,25,1,0,0,1
372,11.8,3820,45076,17,0,25,0,1,0,1
373,11.8,1974,23293.2,17,0,25,0,1,0,1
374,11.8,90,1062,17,0,25,0,1,0,1
375,11.7,2564,29998.8,11,0,20,1,0,0,0
376,11.7,4055,47443.5,11,0,20,1,0,0,1
377,11.7,3000,35100,11,0,48,0,1,0,1
378,11.65,858,9995.7,11,0,50,0,1,0,0
379,11.65,2000,23300,11,4,9,1,0,0,1
380,11.65,1000,11650,11,4,14,0,1,0,1
381,11.65,1500,17475,11,4,49,1,0,0,1
382,11.7,3619,42342.3,11,5,50,1,0,0,0
383,11.7,381,4457.7,11,5,50,0,1,0,1
384,11.65,3500,40775,11,5,58,1,0,0,0
385,11.65,3500,40775,11,6,16,0,0,1,1
386,11.65,5000,58250,11,6,30,1,0,0,1
387,11.7,300,3510,11,8,36,0,1,0,0
388,11.7,4081,47747.7,11,8,53,1,0,0,1
389,11.7,919,10752.3,11,8,53,0,1,0,1
390,11.7,2035,23809.5,11,9,27,1,0,0,1
391,11.7,4965,58090.5,11,9,27,1,0,0,1
392,11.7,965,11290.5,11,10,22,0,1,0,1
393,11.7,35,409.5,11,10,22,0,1,0,1
394,11.7,29,339.3,11,10,44,0,1,0,1
395,11.7,2006,23470.2,11,11,30,1,0,0,1
396,11.7,1252,14648.4,11,11,30,0,1,0,1
397,11.7,1700,19890,11,11,53,1,0,0,1
398,11.65,167,1945.55,11,14,46,0,1,0,0
399,11.65,1833,21354.45,11,15,16,1,0,0,1
400,11.7,650,7605,11,16,9,0,1,0,0
401,11.7,11243,131543.1,11,17,58,1,0,0,1
402,11.7,1757,20556.9,11,17,58,0,1,0,1
403,11.7,2000,23400,11,17,58,1,0,0,1
404,11.7,5000,58500,11,17,58,1,0,0,1
405,11.7,5000,58500,11,18,34,0,0,1,1
406,11.7,2000,23400,11,18,34,0,1,0,1
407,11.65,1000,11650,11,20,51,0,1,0,0
408,11.7,1150,13455,11,22,44,1,0,0,0
409,11.7,3850,45045,11,24,43,1,0,0,1
410,11.75,5000,58750,11,24,48,1,0,0,0
411,11.75,3000,35250,11,24,48,0,1,0,1
412,11.75,2200,25850,11,24,48,0,1,0,1
413,11.75,1500,17625,11,24,48,0,1,0,1
414,11.7,2000,23400,11,25,41,1,0,0,0
415,11.7,2788,32619.6,11,25,43,1,0,0,1
416,11.75,1000,11750,11,26,14,0,1,0,0
417,11.75,4000,47000,11,26,17,1,0,0,1
418,11.8,5000,59000,11,26,24,1,0,0,0
419,11.8,10000,118000,11,26,24,1,0,0,1
420,11.85,1000,11850,11,30,15,0,1,0,0
421,11.85,703,8330.55,11,31,8,0,1,0,1
422,11.85,1297,15369.45,11,31,8,1,0,0,1
423,11.85,1000,11850,11,31,8,0,1,0,1
424,11.85,4297,50919.45,11,31,12,1,0,0,1
425,11.85,5000,59250,11,31,27,1,0,0,1
426,11.85,854,10119.9,11,31,30,0,1,0,1
427,11.9,22214,264346.6,11,31,36,1,0,0,0
428,11.9,1900,22610,11,31,36,0,1,0,1
429,11.9,1500,17850,11,31,36,0,1,0,1
430,12,1700,20400,11,31,41,1,0,0,0
431,12,650,7800,11,31,41,0,1,0,1
432,12.15,1000,12150,11,31,45,1,0,0,0
433,12.4,26,322.4,11,31,48,0,1,0,0
434,12.2,1000,12200,11,34,10,1,0,0,0
435,12,1775,21300,11,34,37,1,0,0,0
436,11.85,347,4111.95,11,35,36,0,1,0,0
437,12,1000,12000,11,35,43,1,0,0,0
438,11.9,2700,32130,11,36,36,1,0,0,0
439,11.85,6404,75887.4,11,36,52,1,0,0,0
440,11.85,1000,11850,11,36,52,0,1,0,1
441,12,833,9996,11,37,15,0,1,0,0
442,12,4729,56748,11,37,52,1,0,0,1
443,12.05,692,8338.6,11,38,3,0,1,0,0
444,12.05,650,7832.5,11,38,21,0,1,0,1
445,12.05,829,9989.45,11,38,36,1,0,0,1
446,11.85,300,3555,11,38,50,0,1,0,0
447,11.85,525,6221.25,11,39,7,1,0,0,1
448,11.85,875,10368.75,11,39,7,1,0,0,1
449,11.85,1584,18770.4,11,39,11,1,0,0,1
450,11.85,2000,23700,11,39,11,1,0,0,1
451,11.85,1000,11850,11,39,11,0,1,0,1
452,11.85,1400,16590,11,39,21,1,0,0,1
453,11.8,790,9322,11,40,33,0,1,0,0
454,11.85,1000,11850,11,40,33,1,0,0,0
455,11.8,1000,11800,11,40,33,0,1,0,0
456,11.8,4000,47200,11,40,33,1,0,0,1
457,11.8,2250,26550,11,40,33,0,1,0,1
458,11.8,260,3068,11,40,33,0,1,0,1
459,11.8,700,8260,11,40,33,1,0,0,1
460,11.85,10000,118500,11,41,57,1,0,0,0
461,11.85,500,5925,11,41,57,0,1,0,1
462,11.85,500,5925,11,41,57,0,0,1,1
463,11.85,2000,23700,11,42,58,1,0,0,1
464,11.9,1000,11900,11,43,11,0,1,0,0
465,11.9,500,5950,11,44,26,0,1,0,1
466,11.9,8000,95200,11,44,26,1,0,0,1
467,11.95,1700,20315,11,45,5,0,1,0,0
468,11.95,1173,14017.35,11,46,15,0,1,0,1
469,11.95,1300,15535,11,46,15,1,0,0,1
470,11.9,15000,178500,11,46,30,1,0,0,0
471,11.85,5000,59250,11,47,52,0,1,0,0
472,11.85,1000,11850,11,48,18,0,1,0,1
473,11.85,1800,21330,11,48,18,1,0,0,1
474,11.85,20000,237000,11,48,18,1,0,0,1
475,11.95,3827,45732.65,11,48,24,0,1,0,0
476,11.95,1173,14017.35,11,48,24,0,1,0,1
477,11.95,27,322.65,11,48,31,0,1,0,1
478,11.9,26,309.4,11,54,21,0,1,0,0
479,11.9,3174,37770.6,11,54,25,1,0,0,1
480,11.95,663,7922.85,11,54,38,0,1,0,0
481,11.95,37,442.15,11,54,46,0,1,0,1
482,11.95,246,2939.7,11,56,4,1,0,0,1
483,11.95,3600,43020,11,56,4,1,0,0,1
484,11.95,1100,13145,11,56,4,0,1,0,1
485,11.95,54,645.3,11,56,4,0,1,0,1
486,11.95,250,2987.5,11,57,17,1,0,0,1
487,11.95,2750,32862.5,11,57,55,1,0,0,1
488,11.95,22250,265887.5,11,57,55,1,0,0,1
489,11.95,3000,35850,11,58,2,0,1,0,1
490,11.95,504,6022.8,11,58,2,0,1,0,1
491,12,300,3600,11,58,9,0,1,0,0
492,12,1700,20400,11,58,9,1,0,0,1
493,12,2000,24000,11,58,16,1,0,0,1
494,12,3600,43200,11,58,22,1,0,0,1
495,12,5000,60000,11,58,22,1,0,0,1
496,12,1028,12336,11,58,22,0,1,0,1
497,12,1300,15600,11,58,22,1,0,0,1
498,12,1000,12000,11,58,24,0,1,0,1
499,12,1000,12000,11,58,31,0,0,1,1
500,12,746,8952,11,58,34,0,1,0,1
501,12.05,29,349.45,11,58,49,0,1,0,0
502,12,2000,24000,11,59,6,1,0,0,0
503,11.95,26,310.7,11,59,11,0,1,0,0
504,12,2000,24000,11,59,55,1,0,0,0
505,11.95,26,310.7,12,0,33,0,1,0,0
506,11.95,1000,11950,12,2,6,1,0,0,1
507,11.95,444,5305.8,12,2,14,0,1,0,1
508,11.95,2000,23900,12,2,28,1,0,0,1
509,12,900,10800,12,3,9,0,1,0,0
510,12,2308,27696,12,3,10,1,0,0,1
511,12,192,2304,12,3,58,0,1,0,1
512,12,2000,24000,12,3,58,1,0,0,1
513,12,1600,19200,12,3,58,0,1,0,1
514,12.05,300,3615,12,4,16,0,1,0,0
515,12.05,2200,26510,12,4,16,1,0,0,1
516,12.05,1500,18075,12,4,16,0,1,0,1
517,12.05,2800,33740,12,4,17,1,0,0,1
518,12.1,1500,18150,12,4,31,0,1,0,0
519,12.1,2000,24200,12,4,31,1,0,0,1
520,12.1,5389,65206.9,12,4,31,1,0,0,1
521,12.05,4000,48200,12,5,5,0,1,0,0
522,12.05,5000,60250,12,5,34,1,0,0,1
523,12,5000,60000,12,6,3,0,1,0,0
524,12.1,5000,60500,12,8,27,1,0,0,0
525,12.1,2500,30250,12,8,46,0,1,0,1
526,12.1,500,6050,12,8,57,0,1,0,1
527,12.1,1314,15899.4,12,9,3,1,0,0,1
