,  PRECIO  ,  VN  ,  PxQ  , Mayor a 100K 
 208 , 2.60 ," 2,000.00 "," 5,200.00 ", -   
 209 , 2.60 ," 1,000.00 "," 2,600.00 ", -   
 210 , 2.60 , 500.00 ," 1,300.00 ", -   
 211 , 2.64 , 572.00 ," 1,510.08 ", -   
 212 , 2.64 ," 3,000.00 "," 7,920.00 ", -   
 213 , 2.83 ," 4,539.00 "," 12,845.37 ", -   
 214 , 2.83 ," 5,461.00 "," 15,454.63 ", -   
 215 , 2.83 ," 2,000.00 "," 5,660.00 ", -   
 216 , 2.83 ," 1,039.00 "," 2,940.37 ", -   
 217 , 2.83 ," 1,500.00 "," 4,245.00 ", -   
 218 , 2.83 ," 1,425.00 "," 4,032.75 ", -   
 219 , 2.83 ," 17,875.00 "," 50,586.25 ", 1.00 
 220 , 2.83 ," 4,760.00 "," 13,470.80 ", -   
 221 , 2.83 , 700.00 ," 1,981.00 ", -   
 222 , 2.83 ," 1,000.00 "," 2,830.00 ", -   
 223 , 2.83 ," 6,365.00 "," 18,012.95 ", -   
 224 , 2.83 ," 3,635.00 "," 10,287.05 ", -   
 225 , 2.83 , 208.00 , 588.64 , -   
 226 , 2.87 ," 3,000.00 "," 8,610.00 ", -   
 227 , 2.83 , 454.00 ," 1,284.82 ", -   
 228 , 2.83 , 345.00 , 976.35 , -   
 229 , 2.87 , 616.00 ," 1,767.92 ", -   
 230 , 2.87 ," 1,000.00 "," 2,870.00 ", -   
 231 , 2.87 ," 2,700.00 "," 7,749.00 ", -   
 232 , 2.87 , 236.00 , 677.32 , -   
 233 , 2.87 , 384.00 ," 1,102.08 ", -   
 234 , 2.87 , 272.00 , 780.64 , -   
 235 , 2.87 ," 3,533.00 "," 10,139.71 ", -   
 236 , 2.90 ," 4,175.00 "," 12,107.50 ", -   
 237 , 2.90 ," 2,386.00 "," 6,919.40 ", -   
 238 , 2.90 , 976.00 ," 2,830.40 ", -   
 239 , 2.90 ," 2,976.00 "," 8,630.40 ", -   
 240 , 2.90 ," 4,024.00 "," 11,669.60 ", -   
 241 , 2.90 ," 5,000.00 "," 14,500.00 ", -   
 242 , 2.90 ," 4,000.00 "," 11,600.00 ", -   
 243 , 2.90 ," 2,000.00 "," 5,800.00 ", -   
 244 , 2.83 ," 5,000.00 "," 14,150.00 ", -   
 245 , 2.83 , 358.00 ," 1,013.14 ", -   
